	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    3700.000 -1666218.758   142533.036    86792.696   184947.389     1126.915 -2357332.838   275714.045    43018.465       27.408       55.420     6683.874       17.226      249.000   116534.000       40.000     2524.000       35.000      163.000       82.000        8.000       67.128        0.000       10.381       22.491        0.000        0.000        2.133        2.172        2.607
    3800.000 -1665811.635   142453.243    86224.621   184996.080     1118.948 -2352238.770   271634.244    43015.037       27.381       55.394     6666.448       17.366      255.000   115948.000       41.000     2529.000       28.000      151.000       75.000        8.000       66.955        0.000        7.612       21.453        3.979        0.000        2.254        2.281        2.761
    3900.000 -1664858.439   144031.169    86294.373   185450.187     1219.858 -2352800.720   270946.694    41717.678       27.268       55.385     6730.393       17.183      251.000   115922.000       45.000     2526.000       37.000      148.000       68.000        7.000       65.917        0.000        8.304       23.183        2.595        0.000        2.338        2.367        2.754
    4000.000 -1667110.897   142006.268    87065.814   184821.380     1127.651 -2356889.506   274757.496    42265.892       27.349       55.443     6706.955       17.192      244.000   116084.000       42.000     2508.000       26.000      158.000       77.000        7.000       70.242        0.000        7.612       20.069        2.076        0.000        2.445        2.481        2.901
    4100.000 -1666765.468   143046.211    86462.059   185054.858     1155.499 -2357141.805   274657.711    42406.681       27.349       55.358     6646.812       17.118      255.000   115950.000       43.000     2455.000       28.000      140.000       72.000        7.000       68.685        0.000        6.920       22.491        1.903        0.000        2.458        2.487        2.898
    4200.000 -1667965.676   144676.709    86046.983   184748.002     1120.802 -2355767.796   271209.624    42607.175       27.273       55.412     6670.646       17.280      252.000   116108.000       38.000     2583.000       30.000      173.000       78.000        7.000       68.685        0.000        8.997       22.318        0.000        0.000        2.390        2.409        2.874
    4300.000 -1664144.264   142429.804    86443.461   185200.859     1121.712 -2350267.823   270927.723    41879.191       27.253       55.397     6705.721       17.213      243.000   115986.000       48.000     2477.000       31.000      146.000       79.000        7.000       66.782        0.000       11.073       20.415        1.730        0.000        2.220        2.238        2.748
    4400.000 -1664847.065   143621.033    86296.754   185568.123     1208.222 -2354836.717   273295.520    43948.379       27.217       55.434     6720.912       17.214      251.000   115946.000       41.000     2549.000       24.000      168.000       68.000        7.000       67.474        0.000        6.920       23.183        2.422        0.000        2.317        2.339        2.870
    4500.000 -1666741.217   142480.273    86728.631   185006.390     1071.746 -2353401.158   271372.901    42050.002       27.345       55.399     6696.262       17.256      266.000   116150.000       43.000     2577.000       31.000      171.000       74.000        7.000       66.782        0.000        8.304       24.913        0.000        0.000        2.139        2.160        2.669
    4600.000 -1666841.823   142428.018    86218.164   185303.983     1047.162 -2353803.172   271964.022    42916.134       27.229       55.414     6704.557       17.150      255.000   115826.000       48.000     2597.000       35.000      168.000       83.000        8.000       67.647        0.000        8.304       23.010        1.038        0.000        2.204        2.220        2.715
    4700.000 -1666040.101   144307.617    86427.725   184834.361     1012.194 -2352104.408   269482.409    42437.417       27.385       55.403     6842.464       17.293      249.000   116162.000       41.000     2575.000       27.000      145.000       81.000        7.000       67.993        0.000       11.073       20.934        0.000        0.000        2.311        2.332        2.833
    4800.000 -1666868.209   145185.001    86050.806   184377.998     1189.167 -2354879.755   271208.574    42120.612       27.322       55.406     6788.682       17.294      243.000   115882.000       39.000     2539.000       31.000      138.000       75.000        7.000       66.955        0.000        7.612       23.356        2.076        0.000        2.296        2.312        2.857
    4900.000 -1665918.958   142125.134    87168.776   185142.862     1195.935 -2353183.164   271631.499    42489.245       27.199       55.389     6723.443       17.240      256.000   115848.000       36.000     2585.000       27.000      158.000       74.000        7.000       69.204        0.000        8.304       20.761        1.730        0.000        2.240        2.265        2.767
    5000.000 -1666407.432   144682.199    86607.079   185416.083     1170.810 -2351935.278   267651.675    41488.723       27.269       55.401     6706.881       17.310      244.000   116048.000       36.000     2599.000       28.000      167.000       81.000        8.000       68.166        0.000        8.304       22.491        1.038        0.000        2.322        2.338        2.870
    5100.000 -1665286.676   142618.205    86658.093   185659.927     1087.198 -2352055.153   270745.054    43261.755       27.124       55.389     6692.546       17.279      255.000   115974.000       41.000     2539.000       26.000      159.000       77.000        7.000       66.955        0.000       10.381       21.972        0.692        0.000        2.225        2.247        2.806
    5200.000 -1668254.061   145470.305    85968.478   184878.732     1142.086 -2354388.768   268675.104    43064.696       27.246       55.440     6702.127       17.143      259.000   116036.000       44.000     2548.000       27.000      164.000       87.000        7.000       66.436        0.000        6.920       25.606        1.038        0.000        2.427        2.454        3.012
    5300.000 -1665573.236   142434.297    86083.321   185590.123     1094.468 -2355931.921   275156.476    43087.348       27.193       55.390     6721.915       17.654      261.000   116230.000       36.000     2569.000       34.000      174.000       78.000        7.000       67.474        0.000        8.304       23.529        0.692        0.000        2.273        2.289        2.970
    5400.000 -1665852.513   143318.994    86546.986   184783.390     1088.568 -2354793.734   273203.282    41814.744       27.155       55.431     6780.465       17.582      257.000   116004.000       42.000     2616.000       39.000      144.000       77.000        7.000       63.668        0.000       10.381       25.087        0.865        0.000        2.250        2.264        2.894
    5500.000 -1668864.387   144413.297    87147.061   185560.280     1144.582 -2357831.340   270701.733    41754.783       27.140       55.431     6737.151       17.344      255.000   116268.000       40.000     2577.000       27.000      153.000       82.000        7.000       68.858        0.000        8.304       22.145        0.692        0.000        2.004        2.021        2.724
    5600.000 -1667747.473   143999.399    85533.316   185707.968     1154.378 -2356304.767   272162.231    42296.681       27.323       55.403     6766.366       17.477      259.000   116072.000       35.000     2629.000       30.000      155.000       72.000        7.000       64.533        0.000        7.612       24.567        3.287        0.000        2.326        2.340        3.032
    5700.000 -1665754.890   147339.422    86666.994   184892.214     1030.061 -2355745.861   270062.280    42339.234       27.393       55.412     6780.318       17.684      258.000   115948.000       40.000     2505.000       33.000      157.000       86.000        7.000       67.128        0.000       12.457       20.415        0.000        0.000        2.196        2.203        2.930
    5800.000 -1666448.917   142426.608    86707.277   184891.548     1159.248 -2355328.178   273694.581    42058.616       27.240       55.386     6802.748       17.787      249.000   116014.000       34.000     2582.000       31.000      148.000       82.000        8.000       69.723        0.000        6.920       23.356        0.000        0.000        2.242        2.250        2.979
    5900.000 -1666873.717   143248.571    86303.836   185503.723     1221.068 -2356495.161   273344.245    42017.034       27.186       55.349     6623.136       17.648      245.000   116312.000       36.000     2552.000       29.000      134.000       85.000        8.000       69.896        0.000        6.920       20.761        2.422        0.000        2.032        2.046        2.825
    6000.000 -1664615.264   143147.724    87048.627   185334.526     1192.146 -2352907.765   271569.479    42721.090       27.125       55.410     6680.859       17.672      258.000   115416.000       40.000     2486.000       30.000      141.000       79.000        7.000       70.934        0.000        6.228       22.837        0.000        0.000        2.092        2.104        2.853
    6100.000 -1664698.793   139245.377    87177.471   184614.297     1169.368 -2353652.614   276747.308    42032.154       27.111       55.377     6682.267       17.501      254.000   116176.000       38.000     2582.000       40.000      145.000       81.000        7.000       68.512        0.000        7.612       23.183        0.692        0.000        1.896        1.906        2.765
    6200.000 -1665708.294   144381.131    86116.711   185108.140     1127.874 -2354113.930   271671.779    42499.817       27.140       55.412     6731.426       17.542      261.000   115976.000       40.000     2553.000       33.000      143.000       89.000        8.000       69.723        0.000        7.612       22.664        0.000        0.000        2.276        2.290        3.051
    6300.000 -1665189.390   141814.070    86953.556   185284.529     1149.520 -2354227.045   273835.979    41673.071       27.058       55.371     6823.282       17.758      260.000   116354.000       39.000     2648.000       30.000      176.000       80.000        7.000       66.263        0.000        8.997       23.183        1.557        0.000        2.209        2.221        3.018
    6400.000 -1667274.864   144106.433    86715.902   185121.536     1113.507 -2354101.671   269769.429    42966.738       27.198       55.390     6742.710       17.646      250.000   116152.000       41.000     2616.000       30.000      168.000       79.000        8.000       68.858        0.000       10.381       19.896        0.865        0.000        2.243        2.257        2.974
    6500.000 -1665409.256   144245.357    86935.025   184966.256     1199.776 -2354304.485   271548.814    42221.633       27.224       55.348     6765.478       17.676      264.000   116146.000       45.000     2604.000       36.000      156.000       83.000        7.000       68.166        0.000        8.304       23.529        0.000        0.000        2.047        2.056        2.881
    6600.000 -1664619.596   143269.838    86323.671   184880.306     1108.064 -2350299.830   270098.356    41600.403       27.304       55.386     6761.234       17.521      259.000   116076.000       37.000     2602.000       23.000      144.000       80.000        8.000       71.107        0.000        7.612       21.280        0.000        0.000        2.036        2.050        2.872
    6700.000 -1665618.302   141533.806    86554.434   184937.248     1112.061 -2354867.798   275111.946    42020.147       27.219       55.349     6868.805       17.410      259.000   116140.000       42.000     2578.000       22.000      159.000       78.000        8.000       71.626        0.000        8.997       19.377        0.000        0.000        2.094        2.108        2.867
    6800.000 -1665756.767   142906.379    86280.455   185650.451      990.585 -2355769.773   274185.136    42441.396       27.144       55.403     6810.257       17.548      249.000   115922.000       38.000     2608.000       26.000      140.000       84.000        8.000       66.782        0.000       10.381       21.799        1.038        0.000        2.156        2.166        2.926
    6900.000 -1669167.217   144523.141    86800.118   185181.021     1149.187 -2359160.001   272339.316    42626.397       27.314       55.395     6883.209       17.656      264.000   116282.000       38.000     2593.000       29.000      159.000       82.000        8.000       66.090        0.000        8.304       23.183        2.422        0.000        1.993        2.009        2.764
    7000.000 -1666047.723   145638.822    85886.945   185298.215     1130.759 -2354258.917   270256.454    41797.308       27.224       55.424     6871.246       17.548      265.000   115750.000       35.000     2631.000       21.000      152.000       84.000        7.000       68.512        0.000        8.304       21.453        1.730        0.000        2.193        2.202        2.978
    7100.000 -1666584.982   141739.262    86554.836   185371.143     1189.255 -2353944.043   272504.565    41652.622       27.224       55.378     6789.714       17.795      269.000   115898.000       36.000     2526.000       36.000      122.000       85.000        7.000       66.782        0.000        8.997       23.529        0.692        0.000        2.292        2.306        3.060
