	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    3100.000 -1613229.797   141424.151    86370.246   185927.745     1228.712 -2295867.989   267687.339    42693.811       27.015       55.429     6963.379       17.317      263.000   116344.000       43.000     2606.000       31.000      148.000       65.000        0.000       66.090        0.000        8.304       23.183        2.422        0.000        1.851        1.879        2.613
    3200.000 -1613250.430   143061.128    86256.067   185201.494     1080.728 -2294763.162   265913.315    42513.274       27.119       55.423     7016.610       17.407      269.000   116002.000       32.000     2643.000       29.000      163.000       70.000        0.000       68.858        0.000        8.304       20.761        2.076        0.000        1.740        1.767        2.584
    3300.000 -1613055.311   142705.720    85895.029   185880.666     1213.712 -2296305.443   267555.005    43740.972       27.108       55.423     7022.286       17.482      256.000   115750.000       36.000     2617.000       30.000      148.000       71.000        0.000       68.166        0.000        5.536       23.875        2.422        0.000        1.934        1.961        2.664
    3400.000 -1613553.420   143412.698    86717.730   185415.718     1079.780 -2294981.425   264802.080    42367.436       27.231       55.421     7029.796       17.527      257.000   116450.000       39.000     2654.000       28.000      165.000       65.000        0.000       66.436        0.000        8.997       23.010        1.557        0.000        2.012        2.039        2.762
    3500.000 -1613403.583   142421.784    85527.649   185662.913     1160.949 -2293614.770   265437.892    42440.123       27.152       55.436     7086.067       17.651      241.000   116264.000       42.000     2635.000       27.000      158.000       64.000        0.000       63.841        0.000       12.457       21.626        2.076        0.000        1.969        1.993        2.693
    3600.000 -1614563.148   145949.448    86009.843   185470.505     1135.192 -2295887.028   262758.892    42297.410       27.128       55.444     7027.287       17.358      258.000   116340.000       32.000     2694.000       28.000      145.000       63.000        0.000       67.474        0.000        8.304       22.145        2.076        0.000        1.947        1.971        2.807
    3700.000 -1614510.548   143917.327    85502.136   185379.964     1118.702 -2296985.125   266556.447    42632.374       27.199       55.458     6984.355       17.442      249.000   116084.000       37.000     2713.000       38.000      155.000       58.000        0.000       65.917        0.000       11.073       22.318        0.692        0.000        2.290        2.313        2.978
    3800.000 -1612603.275   142621.669    86578.696   185447.124     1165.520 -2296501.837   268085.554    42789.355       27.207       55.458     6909.336       17.160      246.000   116046.000       37.000     2714.000       28.000      158.000       64.000        0.000       68.166        0.000        7.612       22.837        1.384        0.000        2.123        2.150        2.768
    3900.000 -1612652.674   142638.665    86790.668   185468.250     1183.966 -2296961.426   268227.203    42002.103       27.333       55.419     6984.421       17.399      258.000   116288.000       43.000     2686.000       23.000      153.000       58.000        0.000       68.339        0.000        9.689       20.242        1.730        0.000        1.971        1.994        2.764
    4000.000 -1612188.692   143692.491    85526.480   185552.983     1053.158 -2294093.931   266080.126    42679.469       27.298       55.434     6943.534       17.327      255.000   116286.000       40.000     2617.000       29.000      136.000       67.000        0.000       64.879        0.000        8.304       24.567        2.249        0.000        2.136        2.153        2.832
