	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    8000.000 -1554385.461   142934.861    86496.383   184823.162     1239.361 -2227690.060   257810.832    42716.835       27.525       55.440     7047.897       17.004      283.000   115482.000       53.000     2576.000       40.000      144.000       73.000        0.000       70.761        0.000        4.844       23.702        0.692        0.000        2.376        2.384        2.943
    8100.000 -1555614.130   140891.391    85709.751   184011.037     1146.768 -2229355.096   261982.019    43123.006       27.549       55.420     7127.173       17.083      274.000   115844.000       56.000     2584.000       31.000      150.000       69.000        0.000       71.280        0.000        5.536       22.491        0.692        0.000        2.486        2.497        3.036
    8200.000 -1556351.827   146538.139    87035.955   184233.400     1083.256 -2233040.734   257798.157    42233.154       27.552       55.473     7053.479       16.934      276.000   115926.000       58.000     2471.000       27.000      144.000       71.000        0.000       67.647        0.000        7.612       24.740        0.000        0.000        2.550        2.562        3.085
    8300.000 -1557836.829   141737.284    85880.755   184901.761     1180.617 -2234909.623   263372.376    43864.207       27.510       55.415     7227.084       17.201      280.000   116200.000       50.000     2526.000       31.000      164.000       78.000        0.000       69.896        0.000        6.920       21.626        1.557        0.000        2.418        2.429        2.983
    8400.000 -1557499.984   144997.864    86348.213   184240.696     1111.516 -2228993.518   254795.246    41975.060       27.496       55.445     7054.503       16.997      262.000   115992.000       57.000     2601.000       33.000      159.000       79.000        0.000       70.761        0.000        5.536       22.664        1.038        0.000        2.708        2.721        3.246
    8500.000 -1554169.648   142087.090    85550.591   185043.896     1142.201 -2227204.286   259210.860    42578.516       27.426       55.419     7119.566       17.224      277.000   115922.000       58.000     2560.000       38.000      156.000       73.000        0.000       70.761        0.000        6.920       20.934        1.384        0.000        2.496        2.507        3.090
    8600.000 -1555128.901   141236.498    86086.826   184702.633     1147.747 -2227768.880   259466.274    41926.909       27.361       55.397     7168.423       17.261      270.000   115582.000       49.000     2529.000       28.000      147.000       84.000        0.000       69.723        0.000        6.920       22.664        0.692        0.000        2.685        2.694        3.237
    8700.000 -1554427.347   142605.341    85653.129   184937.622     1088.490 -2224439.313   255727.383    42082.319       27.338       55.426     7101.664       17.010      271.000   115800.000       44.000     2613.000       34.000      174.000       87.000        0.000       67.993        0.000        8.997       22.318        0.692        0.000        2.426        2.440        3.025
    8800.000 -1556366.787   142034.519    86001.310   184835.600     1152.794 -2234828.911   264437.900    42744.214       27.304       55.394     7257.994       17.462      264.000   115964.000       45.000     2614.000       41.000      171.000       81.000        0.000       67.474        0.000        8.304       22.664        1.557        0.000        2.580        2.593        3.154
    8900.000 -1556794.676   144744.153    86306.315   185493.611     1133.833 -2232185.781   257713.192    42218.275       27.360       55.398     7135.858       17.388      282.000   115896.000       48.000     2513.000       35.000      135.000       82.000        0.000       67.301        0.000        6.228       24.394        2.076        0.000        2.522        2.534        3.055
    9000.000 -1557493.870   142393.758    85655.751   185402.467     1213.144 -2231726.712   259567.722    42527.140       27.355       55.417     7232.628       17.425      280.000   115850.000       56.000     2608.000       38.000      190.000       80.000        0.000       68.685        0.000        9.689       20.588        1.038        0.000        2.435        2.442        3.013
    9100.000 -1556202.802   141389.024    86238.241   185324.775     1108.044 -2230651.289   260388.403    42631.386       27.562       55.360     7165.062       17.228      283.000   115948.000       48.000     2586.000       33.000      164.000       80.000        0.000       66.436        0.000        6.920       23.529        3.114        0.000        2.607        2.614        3.170
    9200.000 -1553772.159   140052.102    86416.031   185023.318     1134.192 -2224957.827   258560.027    42940.096       27.337       55.429     7266.000       17.392      288.000   115690.000       51.000     2623.000       39.000      169.000       80.000        0.000       67.993        0.000        8.304       22.145        1.557        0.000        2.520        2.529        3.132
    9300.000 -1555004.814   142022.297    85479.102   185919.366     1230.644 -2229815.260   260159.036    42326.970       27.360       55.394     7079.176       17.258      273.000   115858.000       47.000     2532.000       33.000      173.000       80.000        0.000       67.820        0.000        8.997       21.799        1.384        0.000        2.498        2.507        3.092
    9400.000 -1557339.962   144907.797    86164.727   184740.968     1139.689 -2234727.295   260434.153    42749.594       27.439       55.438     7298.656       17.353      289.000   116066.000       48.000     2556.000       40.000      174.000       79.000        0.000       66.955        0.000       11.073       20.588        1.384        0.000        2.660        2.671        3.228
    9500.000 -1555987.735   141057.205    87123.468   185343.554     1151.064 -2232690.980   262027.954    42833.930       27.433       55.415     7448.568       17.634      289.000   116056.000       52.000     2578.000       46.000      167.000       88.000        0.000       66.955        0.000       10.381       21.799        0.865        0.000        2.499        2.508        3.200
    9600.000 -1557658.735   142237.786    86231.788   184842.512     1091.801 -2233606.832   261544.210    43504.678       27.412       55.430     7520.521       18.010      284.000   116138.000       58.000     2531.000       42.000      175.000       84.000        0.000       65.052        0.000        8.997       25.260        0.692        0.000        2.509        2.517        3.204
