        Time	Energy		x1				x2			x3				x4			x5			x6	
    7100.000    2548.758   10156.837   62169.130    13876.459   11449.706     2928.259   70278.714
    7200.000    2296.182   10378.102   62308.137    14143.804   11641.925     2931.619   70819.796
    7300.000    2102.651   11118.714   61331.568    14281.554   11921.522     2375.790   70363.389
    7400.000    2084.542   10965.297   61779.216    14300.187   11551.269     2573.268   70484.322
    7500.000    2246.904    9508.649   63787.931    13968.434   11552.481     3801.709   72435.432
    7600.000    1983.946   10332.168   62993.685    14044.986   11751.383     3214.887   72263.191
    7700.000    2070.807    9643.095   63349.993    14178.292   11357.139     3726.097   71827.226
    7800.000    1922.000    8450.651   65489.654    14006.910   11078.249     4785.036   73874.678
    7900.000    1947.459    9267.540   63882.932    14213.127   11555.435     4137.375   72682.696
    8000.000    1824.535    9375.077   64181.558    13852.104   11392.838     3784.200   73057.033
    8100.000    2078.506    9085.203   64280.457    14056.227   11296.134     4489.598   73016.659
    8200.000    2072.491   10033.439   63006.984    14226.168   11754.221     3608.469   72104.455
    8300.000    2210.013    9819.583   63110.244    13900.085   11515.897     3571.589   71907.215
    8400.000    2137.779    9614.017   62780.760    14170.685   11752.559     3879.321   71718.194
    8500.000    2011.767   10392.736   61967.814    14103.624   11600.922     3092.305   70938.387
    8600.000    2167.250   10385.898   62146.453    14201.521   11428.503     2853.363   70445.447
    8700.000    2380.868    9169.751   64107.238    13952.450   11542.610     3981.550   72467.832
    8800.000    2040.053   10527.738   61993.271    14101.219   11569.873     2826.092   70775.702
    8900.000    2429.601    9708.712   63208.518    14040.937   11573.013     3596.403   71616.108
    9000.000    2227.862   10195.576   62137.243    14054.207   11606.764     3031.472   70688.986
    9100.000    2039.707   10290.521   62477.870    14349.450   11744.158     3476.323   71599.715
    9200.000    1893.409   10016.175   62581.826    14031.029   11782.114     3214.924   71670.600
    9300.000    2134.269   10606.284   62256.232    14004.031   11365.181     2661.630   70751.027
    9400.000    2154.831   11439.374   60328.477    14393.373   11891.378     2129.011   69240.036
    9500.000    2174.205   10552.740   60645.957    14093.862   11404.257     3035.849   69370.737
    9600.000    2132.606   10625.613   60829.326    14163.853   11557.927     2893.161   69609.568
    9700.000    2107.696    8981.643   63788.984    13855.904   11206.178     4502.090   72515.295
    9800.000    1930.061    8571.178   63560.020    14052.509   11165.558     5205.403   72519.589
    9900.000    1916.531    9085.034   63639.409    13924.924   11285.024     4307.547   72475.559
   10000.000    2082.192   10310.493   61806.109    13862.583   11406.553     2995.097   70573.477
   10100.000    2004.896    8917.520   64082.644    14035.359   11261.359     4444.449   72665.717
   10200.000    2065.408    8946.040   62985.755    13738.103   11380.282     4323.740   71832.306
   10300.000    2341.082    9492.639   62951.146    13772.757   11211.579     3655.544   71197.069
   10400.000    2452.293    9401.496   63422.975    13919.654   11401.132     3914.622   71768.277
   10500.000    2178.767    8827.754   64633.714    13857.058   11193.747     4307.017   72926.408
   10600.000    2529.255    9331.675   63629.416    13816.345   11459.538     3848.876   71923.905
   10700.000    2161.430    9624.246   62185.960    13878.774   11562.939     3713.575   71046.517
   10800.000    2571.853    9363.680   62907.013    13925.622   11460.736     3702.368   70936.322
   10900.000    2289.835   10101.147   62168.805    13797.424   11140.256     2887.699   70210.647
   11000.000    2357.705    9413.159   63513.491    13654.825   11323.139     3686.616   71923.875
   11100.000    2220.469    8875.871   63853.731    13869.074   11489.316     4469.016   72598.390
   11200.000    2160.009    8463.574   64077.739    13714.286   11380.091     4696.647   72743.757
   11300.000    2145.838    8225.841   63859.473    13530.152   11025.015     4950.475   72384.813
   11400.000    2399.336    9089.733   62776.758    13699.663   11413.373     4016.603   71197.468
   11500.000    2472.823    9681.904   63001.878    13669.224   11239.099     3416.049   71196.882
   11600.000    2314.030    8841.379   63166.836    14015.123   11854.405     4573.407   72106.874
   11700.000    2213.815    9567.541   62754.352    13961.761   11649.091     3804.982   71600.390
   11800.000    2230.186    8843.362   64212.322    13844.972   11369.165     4403.912   72753.603
   11900.000    2312.688    9571.398   63156.072    13873.706   11654.880     3486.523   71682.479
   12000.000    2263.163    9838.216   63886.043    14053.177   11492.638     3665.221   72565.779
   12100.000    1881.751    9850.121   63244.639    13623.912   11071.960     3113.954   71775.012
   12200.000    2091.311    8717.258   65017.678    13708.522   10966.880     4128.692   73030.675
