        Time	Energy		x1				x2			x3				x4			x5			x6	
   64100.000    2783.266    8677.008   63238.475    14202.930   11884.478     3951.157   70764.921
   64200.000    2655.418    9653.092   62032.083    13987.897   11617.393     3008.056   69667.310
   64300.000    2717.398    9589.964   62910.563    13991.994   11511.530     2922.765   70225.429
   64400.000    2760.704   10442.660   61331.460    14018.525   11755.389     2140.846   68891.126
   64500.000    2811.183    9593.397   62081.253    14142.957   11787.298     3166.518   69674.325
   64600.000    2786.223   10097.339   61419.335    14394.093   11596.511     2914.138   68847.008
   64700.000    2474.039    9793.940   61900.803    14007.355   11656.419     2639.718   69509.485
   64800.000    2746.972   10375.402   62737.861    14167.076   11600.884     2103.162   69903.261
   64900.000    2636.267    9081.513   63047.720    13968.134   11491.728     3323.137   70339.697
   65000.000    2639.756    9958.959   61236.767    14416.048   11750.579     2803.789   68694.290
   65100.000    2673.671    9597.370   63130.088    14377.350   11551.661     3324.050   70552.148
   65200.000    2462.818    9744.183   63008.599    13977.170   11334.562     2610.431   70257.787
   65300.000    2657.084    9788.324   60910.384    14491.107   11932.023     3232.841   68715.380
   65400.000    2838.589   12020.429   58625.701    14405.147   11495.942     1135.547   66033.883
   65500.000    2763.659   11603.361   59869.133    14046.311   11397.943     1149.643   67210.110
   65600.000    2852.206   10494.225   61568.209    14252.931   11850.985     2156.958   68965.240
   65700.000    2815.152    9770.561   61378.954    14022.443   11697.146     2952.443   68961.509
   65800.000    2662.110    9960.127   62093.326    14112.025   11411.329     2727.949   69418.596
   65900.000    2562.278    9648.480   61717.047    14514.613   11841.344     3441.524   69571.504
   66000.000    2701.338    9794.124   62170.241    14389.501   11866.646     3099.315   69839.487
   66100.000    2727.790    9971.782   61309.433    13862.504   11346.728     2447.491   68485.141
   66200.000    2355.859    9531.330   63402.394    14024.549   11402.499     3342.740   71298.555
   66300.000    2620.205    8755.831   63604.642    14107.161   11661.228     3937.219   71231.554
   66400.000    2607.236    9440.886   63237.355    14010.270   11418.976     3177.760   70657.471
   66500.000    2790.707    9031.246   61959.283    14327.604   11720.647     3926.834   69519.699
   66600.000    2673.178    9634.550   62412.093    14444.123   11951.035     3457.069   70337.446
   66700.000    2598.535   10221.908   60957.023    14086.218   11546.333     2488.082   68528.594
   66800.000    2590.477    9161.865   63068.539    14303.663   11661.457     3823.188   70820.909
   66900.000    2630.795   10975.047   61656.639    14119.796   11288.475     1935.151   69104.720
   67000.000    2460.311    9168.471   63286.061    13981.234   11370.670     3230.418   70614.074
   67100.000    2557.523   10441.404   62856.220    14001.518   11423.267     2041.361   70203.210
   67200.000    2396.539   10345.895   62009.485    13915.586   11427.344     2141.856   69612.455
   67300.000    2434.955    9990.719   62956.581    14153.067   11227.971     2825.148   70412.398
   67400.000    2663.462   10334.765   61629.612    14185.002   11507.734     2437.701   69061.348
   67500.000    2407.774    9235.379   63066.110    13834.887   11200.678     3234.240   70493.745
   67600.000    2439.140    9685.391   63551.716    14177.384   11440.576     3217.324   71278.484
   67700.000    2367.866   10001.926   62827.848    14011.621   11319.089     2916.624   70686.000
   67800.000    2347.659    8998.448   62927.917    13831.845   11085.262     3706.215   70538.338
   67900.000    2373.345    9901.421   62649.029    13772.972   11443.747     2495.686   70343.567
   68000.000    2406.006    8941.811   63245.826    14120.142   11255.013     3928.430   70844.932
   68100.000    2442.023   10097.888   62408.945    14196.142   11731.161     2788.602   70388.431
   68200.000    2357.808   10254.361   62414.609    14139.395   11457.671     2605.990   70235.428
   68300.000    2009.310   10159.426   61165.450    13751.594   11133.262     2533.704   69230.937
   68400.000    2281.793    9284.045   63473.486    14065.774   11813.331     3595.844   71819.139
   68500.000    2187.762    9421.514   62622.854    14122.932   11395.482     3515.611   70644.767
   68600.000    2594.441    9864.009   61715.309    14103.764   11472.955     3178.190   69532.258
   68700.000    2535.121    9016.943   63048.718    13849.348   11573.578     3795.090   71049.860
   68800.000    2631.724    9979.883   62455.960    14186.842   11922.405     3056.793   70596.476
   68900.000    2757.473    9669.996   62326.838    14205.444   11691.300     3347.207   70072.423
   69000.000    2702.316   10294.048   61475.599    14252.002   11651.233     2586.187   69052.749
   69100.000    2542.837   10335.530   61652.015    14027.718   11403.488     2483.522   69304.000
   69200.000    2701.208   10306.154   61310.022    14158.944   11503.640     2765.795   69025.460
   69300.000    2455.627   10842.259   61726.020    14186.746   11436.971     2189.719   69552.596
   69400.000    2592.020    9397.951   61960.832    14449.523   11738.118     3942.114   69997.471
   69500.000    2239.457   10757.293   61867.431    14277.581   11720.682     2379.313   70207.681
   69600.000    2418.480    9454.191   61939.162    14184.468   11398.140     3541.146   69729.691
   69700.000    2322.097    9081.616   63099.999    14229.184   11738.472     3998.428   71367.233
   69800.000    2506.607    8071.295   64210.328    14018.061   11720.942     4712.239   72190.135
   69900.000    2337.299    9384.130   63195.266    14012.247   11924.690     3617.843   71772.384
   70000.000    2397.609   10026.449   61768.673    14387.339   11755.725     3063.181   69829.081
   70100.000    2618.380    9575.133   62541.131    14243.151   11439.608     3661.319   70355.661
   70200.000    2376.170    9618.852   62828.878    13825.554   11475.624     3043.526   70765.155
   70300.000    2347.604    8971.479   62954.698    14165.985   11721.278     4123.560   71257.426
   70400.000    2203.032    8466.665   63716.224    13939.386   11149.914     4611.451   71801.838
   70500.000    2187.829    9332.432   62572.362    13798.150   11083.399     3291.624   70293.837
   70600.000    2432.210    8550.249   63973.832    13811.370   11102.959     4034.516   71417.976
   70700.000    2348.749    9707.856   63030.141    14002.455   11625.844     3362.482   71375.120
   70800.000    2312.816   10458.958   61216.091    14001.973   11452.377     2408.789   69221.425
   70900.000    2084.654    9711.466   62558.923    14068.895   11412.706     3006.845   70536.392
   71000.000    2304.497    8345.140   63955.330    14115.781   11814.979     4564.968   72260.139
   71100.000    2530.809    8915.616   63332.977    14042.038   11522.075     4032.855   71230.675
   71200.000    2614.329   10351.660   62340.794    14061.850   11617.989     2694.767   70329.031
   71300.000    2481.349   10151.776   62908.293    13843.913   11458.213     2661.260   70854.280
   71400.000    2284.515   11302.042   60972.792    14005.800   11553.755     1601.809   69140.083
   71500.000    2477.280    9203.177   62717.972    13994.994   11337.056     3927.756   70713.686
   71600.000    2593.665    8862.025   64208.131    13874.648   11735.449     4040.577   72377.870
   71700.000    2700.712    9679.400   62306.513    14220.933   11397.056     3692.011   70153.335
   71800.000    2666.982    9113.512   63132.811    14416.461   11611.100     4184.119   70958.099
   71900.000    2548.455    8914.218   63735.666    14200.030   11876.648     4156.330   71934.376
   72000.000    2745.575    8812.826   63612.522    14209.751   11576.456     4162.405   71208.883
   72100.000    2606.014    9489.267   62453.582    14119.159   11605.849     3461.393   70284.918
   72200.000    2457.955    9502.321   62951.466    14060.650   11763.936     3444.828   71143.946
   72300.000    2413.823    9031.012   63042.691    14103.182   11642.808     3851.608   71051.114
   72400.000    2234.457    9397.673   62877.637    14241.119   11666.636     3660.595   71126.965
   72500.000    2107.006    8855.253   64332.684    13752.540   11588.387     3893.814   72810.593
   72600.000    2232.302   10283.959   62282.481    13901.246   11220.690     2671.639   70325.221
   72700.000    2048.575   10477.560   61692.066    14135.623   11541.536     2672.502   70199.466
   72800.000    2291.543   10708.217   62296.160    13948.000   11782.426     2179.924   70727.184
   72900.000    2043.088   10076.616   61654.565    13769.573   11591.501     2791.844   70301.866
   73000.000    1857.934   10023.178   62546.175    14171.362   11668.308     3061.200   71269.567
   73100.000    2095.831   10568.905   61157.350    14024.392   11555.225     2677.658   69838.915
   73200.000    1981.459    9991.654   61609.233    13883.782   11743.305     2977.236   70456.188
   73300.000    2033.643    8744.407   63279.568    14039.165   11430.924     4395.085   71777.175
   73400.000    2336.375    8305.161   63969.173    14048.004   11893.358     4808.039   72591.351
   73500.000    2385.598    8785.921   63295.535    14251.398   11590.572     4442.586   71477.619
   73600.000    2416.737    7594.767   64938.860    14045.025   11573.170     5348.928   72993.964
   73700.000    2531.312    8422.771   64586.233    13795.785   11636.719     4533.170   72851.796
   73800.000    2438.063    7840.870   64366.612    13718.367   11400.962     4861.850   72313.863
   73900.000    2579.867    8557.493   63593.122    14263.929   11687.432     4475.980   71470.231
   74000.000    2300.251    7835.711   65789.850    14107.168   11509.890     5329.446   74057.477
   74100.000    2359.650    8444.467   64384.460    14173.627   11686.709     4591.085   72573.445
   74200.000    2555.371    8295.038   64667.665    14323.017   11723.723     4895.042   72703.080
   74300.000    2237.801    8079.211   64652.850    14095.656   11582.736     5206.978   73188.318
   74400.000    2135.074    7903.400   64438.761    14094.202   11605.142     5438.240   73156.266
   74500.000    2032.642    9130.715   63149.621    14238.224   11937.010     4309.674   72256.153
   74600.000    2364.592    8960.049   64061.676    14062.621   11553.122     4438.056   72585.691
   74700.000    2236.582    8898.785   63857.313    14245.352   11977.041     4569.957   72821.163
   74800.000    2316.480    9262.538   63265.003    14050.154   11597.031     4027.256   71785.195
   74900.000    2448.205    9246.813   64406.796    14403.073   11928.037     4162.809   72893.178
